Each;search;id;author;year;journal;title;select;species;strain;strainGrouped;origin;sex;model;mTime;mTimeStart;mTimeEnd;mHours;mHoursAve;mCage;mCageGrouped;mLD;mLDGrouped;mRepetition;mControlGrouped;mDetails;hit2Grouped;hit2Ccomment;nest;testAuthor;testAuthorGrouped;waterTcate;waterT;testDetail;testLength;testHab;testLD;testLDGrouped;ageRange;ageWeek;exclude;varAuthor;varAuthorGrouped;freezingType;retentionInMin;retention;retentionGrouped;direction;directionGrouped;directionAnalysis;dataFrom;effectSizeCorrection;cut_nC;n_notRetriev;nC;meanC;sdC;seC;nE;meanE;sdE;seE;dataType;seqGeneration;baseline;allocation;housing;blindExp;control;outAss;outBlind;incData;;
8863;P;6630359;Bennett HP.;1983;J Chromatogr;Isolation of pituitary peptides by reversed-phase high-performance liquid chromatography. Expansion of the resolving power of reversed-phase columns by manipulating pH and the nature of the ion-pairing reagent.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8864;P;6664413;Barrett J, Livesey PJ.;1983;Neurobehav Toxicol Teratol;Lead induced alterations in maternal behavior and offspring development in the rat.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8865;P;6677820;Twaij HA, Kery A, Al-Khazraji NK.;1983;J Ethnopharmacol;Some pharmacological, toxicological and phytochemical investigations on Centaurea phyllocephala.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8866;P;6682330;Hadfield MG.;1983;Behav Brain Res;Dopamine: mesocortical vs nigrostriatal uptake in isolated fighting mice and controls.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8867;P;6684101;Suthanthirarajan N, Subrahmanyam S.;1983;Indian J Physiol Pharmacol;Influence of isolation stress on monoamine levels in discrete regions of the rat brain correlated with behaviour.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8868;P;6684303;Niesink RJ, van Ree JM.;1983;Physiol Behav;Involvement of the pituitary-adrenal axis in socio-behavioral disturbances after short-term isolation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8869;P;6684528;de Catanzaro D, Ngan ET.;1983;J Comp Psychol;Dominance in intermale encounters and subsequent sexual success in mice.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8870;P;6686685;DaVanzo JP, Sydow M, Garris DR.;1983;Physiol Behav;Influence of isolation and training on fighting in mice with olfactory bulb lesions.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8844;P;6696796;Dalrymple-Alford JC, Benton D.;1984;Behav Neurosci;Preoperative differential housing and dorsal hippocampal lesions in rats.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8845;P;6729161;Ellison GD, Potthoff AD.;1984;Recent Dev Alcohol;Social models of drinking behavior in animals. The importance of individual differences.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8846;P;6732860;Mansuy D, Dansette PM, Foures C, Jaouen M, Moinet G, Bayer N.;1984;Biochem Pharmacol;Metabolic hydroxylation of the thiophene ring: isolation of 5-hydroxy-tienilic acid as the major urinary metabolite of tienilic acid in man and rat.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8847;P;6742174;Honma S, Honma K, Hiroshige T.;1984;Am J Physiol;Dissociation of circadian rhythms in rats with a hypothalamic island.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8848;P;6744049;Schulz DW, Kalivas PW, Nemeroff CB, Prange AJ Jr.;1984;Brain Res;Bombesin-induced locomotor hyperactivity: evaluation of the involvement of the mesolimbic dopamine system.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8849;P;6744277;Kozlowski JM, Fidler IJ, Campbell D, Xu ZL, Kaighn ME, Hart IR.;1984;Cancer Res;Metastatic behavior of human tumor cell lines grown in the nude mouse.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8885;P;6763806;Srinivasan BD.;1982;Trans Am Ophthalmol Soc;Corneal reepithelialization and anti-inflammatory agents.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8947;P;6773543;Randerath E, Gupta RC, Morris HP, Randerath K.;1980;Biochemistry;Isolation and sequence analysis of two major leucine transfer ribonucleic acids (anticodon Mm-A-A) from a rat tumor, Morris hepatoma 5123D.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8948;P;6775337;Baggio G, Ferrari F.;1980;Psychopharmacology (Berl);Role of brain dopaminergic mechanisms in rodent aggressive behavior: influence of (+/-)N-n-propyl-norapomorphine on three experimental models.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4993;W;6777802;"PUGLISIALLEGRA, S; MANDEL, P";1980;PSYCHOPHARMACOLOGY;EFFECTS OF SODIUM NORMAL-DIPROPYLACETATE, MUSCIMOL HYDROBROMIDE AND (R,S) NIPECOTIC ACID AMIDE ON ISOLATION-INDUCED AGGRESSIVE-BEHAVIOR IN MICE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8915;P;6779357;Hofer MA.;1981;Res Publ Assoc Res Nerv Ment Dis;Toward a developmental basis for disease predisposition: the effects of early maternal separation on brain, behavior, and cardiovascular system.;NF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8950;P;6781002;Panksepp J.;1980;Psychopharmacology (Berl);Brief social isolation, pain responsiveness, and morphine analgesia in young rats.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8916;P;6786210;Savitskaia KI, Levina EN, Akatova NS.;1981;Antibiotiki;[Antibiotic behavior of Ps. aeruginosa strains isolated from various types of clinical material].;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8917;P;6788630;Fleischer SF, Turkewitz G.;1981;Dev Psychobiol;Alterations of maternal behaviors of female rats caring for malnourished pups.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8886;P;6812111;Bolin P Jr, Da Vanzo JP.;1982;Psychopharmacology (Berl);The influence of isolation and aminooxyacetic acid (AOAA) on GABA in muricidal rats.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8887;P;6815704;Plaut SM, Friedman SB.;1982;Psychother Psychosom;Stress, coping behavior and resistance to disease.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4980;W;6827893;"SCHENK, S; HUNT, T; COLLE, L; AMIT, Z";1983;LIFE SCIENCES;ISOLATION VERSUS GROUPED HOUSING IN RATS - DIFFERENTIAL-EFFECTS OF LOW-DOSES OF HEROIN IN THE PLACE PREFERENCE PARADIGM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8872;P;6838197;Sokolove PM, Brenza JM.;1983;Arch Biochem Biophys;Isolation of a fraction with Ca2+ ionophore properties from rat liver mitochondria.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8873;P;6838885;Edwards JA, Brimijoin S.;1983;Biochim Biophys Acta;Thermal inactivation of the molecular forms of acetylcholinesterase and butyrylcholinesterase.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8874;P;6852926;Zeichner SL.;1983;Infect Immun;Isolation and characterization of macrophage phagosomes containing infectious and heat-inactivated Chlamydia psittaci: two phagosomes with different intracellular behaviors.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8875;P;6859517;Berchtold MW, Heizmann CW, Wilson KJ.;1983;Anal Biochem;Ca2+-binding proteins: a comparative study of their behavior during high-performance liquid chromatography using gradient elution on reverse-phase supports.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8876;P;6887133;Swanson HH, van de Poll NE.;1983;J Reprod Fertil;Effects of an isolated or enriched environment after handling on sexual maturation and behaviour in male and female rats.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8888;P;6889691;Hadfield MG.;1982;Neuropharmacology;Cocaine: peak time of action on isolation-induced fighting.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8889;P;6890682;Kokkinidis L, MacNeill EP.;1982;Pharmacol Biochem Behav;Stress-induced facilitation of acoustic startle after d-amphetamine administration.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8890;P;6891063;Puglisi-Allegra S, Oliverio A, Mandel P.;1982;Pharmacol Biochem Behav;Effects of opiate antagonists on social and aggressive behavior of isolated mice.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8891;P;6891793;Dourish CT, Davis BA, Dyck LE, Jones RS, Boulton AA.;1982;Pharmacol Biochem Behav;Alterations in trace amine and trace acid concentrations in isolated aggressive mice.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8951;P;6928659;Cifone MA, Fidler IJ.;1980;Proc Natl Acad Sci U S A;Correlation of patterns of anchorage-independent growth with in vivo behavior of cells from a murine fibrosarcoma.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8892;P;6984413;Neumeier R, Maurer HR.;1982;Hoppe Seylers Z Physiol Chem;Isolation of a high molecular mass granulocyte colony-stimulating factor from bovine lung conditioned medium.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8952;P;7010709;Parr EL, Bowen KM, Lafferty KJ.;1980;Transplantation;Cellular changes in cultured mouse thyroid glands and islets of Langerhans.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8918;P;7023132;Linde K.;1981;Zentralbl Bakteriol A;[High-immunogenic mutants of Salmonella with two independently of each other attenuating markers as potential vaccines from bacteria capable of multiplication. 2. Communication: spontaneous chromosomal resistance against antibiotics as a possibility for isolation of clones with decreased virulence (...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8893;P;7045518;Diglio CA, Grammas P, Giacomelli F, Wiener J.;1982;Lab Invest;Primary culture of rat cerebral microvascular endothelial cells. Isolation, growth, and characterization.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8894;P;7054018;Chivers SM, Einon DF.;1982;Dev Psychobiol;Effects of early social experience on activity and object investigation in the ferret.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8895;P;7056568;de Beer FC, Baltz ML, Munn EA, Feinstein A, Taylor J, Bruton C, Clamp JR, Pepys MB.;1982;Immunology;Isolation and characterization of C-reactive protein and serum amyloid P component in the rat.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8896;P;7096926;Bronson FH.;1982;J Gerontol;Relative effects of exercise, diet, and female stimulation on sexual aging of male mice.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8897;P;7106392;Meisel RL.;1982;Dev Psychobiol;Effects of postweaning rearing condition on recovery of copulatory behavior from lesions of the medial preoptic area in rats.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8898;P;7148280;Dörner G, Bluth R, Tönjes R.;1982;Acta Biol Med Ger;Acetylcholine concentrations in the developing brain appear to affect emotionality and mental capacity in later life.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4982;W;7155313;"NIESINK, RJM; VANREE, JM";1982;NEUROPHARMACOLOGY;ANTI-DEPRESSANT DRUGS NORMALIZE THE INCREASED SOCIAL-BEHAVIOR OF PAIRS OF MALE-RATS INDUCED BY SHORT-TERM ISOLATION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8900;P;7156221;Niesink RJ, van Ree JM.;1982;Physiol Behav;Short-term isolation increases social interactions of male rats: a parametric analysis.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8953;P;7188911;Johanson IB.;1980;Dev Psychobiol;Alterations in the maternal behavior of rats rearing hypothyroid and hyperthyroid offspring.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8954;P;7190302;Kantak KM, Hegstrand LR, Eichelman B.;1980;Pharmacol Biochem Behav;Dietary tryptophan modulation and aggressive behavior in mice.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8955;P;7191837;Grimm VE.;1980;Int J Neurosci;The role of submissiveness in isolation induced intermale fighting in mice.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8956;P;7192420;Sklar LS, Anisman H.;1980;Psychosom Med;Social stress influences tumor growth.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8957;P;7193333;Hofer MA.;1980;Psychosom Med;Effects of reserpine and amphetamine on the development of hyperactivity in maternally deprived rat pups.;NF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8958;P;7193623;Kamioka T, Sakai Y.;1980;Nihon Yakurigaku Zasshi;[Behavioral pharmacology of mianserin hydrochloride, a new antidepressant (author's transl)].;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8959;P;7194040;Hyde JS, Sawyer TF.;1980;Behav Genet;Selection for agonistic behavior in wild female mice.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8919;P;7195037;Willner P, Theodorou A, Montgomery A.;1981;Pharmacol Biochem Behav;Subchronic treatment with the tricyclic antidepressant DMI increases isolation-induced fighting in rats.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8920;P;7195584;Puciłowski O, Kostowski W.;1981;Pharmacol Biochem Behav;Effects of stimulation of the raphe nuclei on muricide behavior in rats.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8921;P;7195586;Delini-Stula A, Vassout A.;1981;Pharmacol Biochem Behav;The effects of antidepressants on aggressiveness induced by social deprivation in mice.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8922;P;7195589;Matte AC.;1981;Pharmacol Biochem Behav;Growth hormone and isolation-induced aggression in wild male mice.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4984;W;7195727;"SIEGFRIED, B; ALLEVA, E; OLIVERIO, A; PUGLISIALLEGRA, S";1981;BEHAVIOURAL BRAIN RESEARCH;EFFECTS OF ISOLATION ON ACTIVITY, REACTIVITY, EXCITABILITY AND AGGRESSIVE-BEHAVIOR IN 2 INBRED STRAINS OF MICE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8924;P;7196224;O'Donnell V, Blanchard RJ, Blanchard DC.;1981;Behav Neural Biol;Mouse aggression increases after 24 hours of isolation or housing with females.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8925;P;7196267;Poshivalov VP.;1981;Biull Eksp Biol Med;[GABA-ergic correlates of aggression and intraspecies sociability of mice subjected to isolation].;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8926;P;7196343;Val'dman AV, Zaikonnikova IV, Kozlovskaia MM, Zimakova IE, Bravkov MF.;1981;Farmakol Toksikol;[Correlation between the stress-protective and vegetotropic action of mebikar].;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8960;P;7197112;Petkov VV.;1980;Acta Physiol Pharmacol Bulg;Effect of nitrazepam and its combined administration with fenfluramine and cyproheptadine on explorative behaviour, muscle tone and coordination in normal mice and in mice with isolation syndrome.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8927;P;7197535;Tobe A, Yoshida Y, Ikoma H, Tonomura S, Kikumoto R.;1981;Arzneimittelforschung;Pharmacological evaluation of 2-(4-methylaminobutoxy)diphenylmethane hydrochloride (MCI-2016), a new psychotropic drug with antidepressant activity.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4989;W;7197858;POSHIVALOV, VP;1981;ZHURNAL VYSSHEI NERVNOI DEYATELNOSTI IMENI I P PAVLOVA;ELECTROSHOCK EFFECTS ON INTRA-SPECIES BEHAVIOR OF MICE KEPT IN ISOLATION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4986;W;7198576;"TONJES, R; HECHT, K; HINZ, G; DOCKE, F; DORNER, G";1981;ENDOKRINOLOGIE;EFFECTS OF NEONATAL PYRIDOSTIGMINE TREATMENT ON SEXUAL-MATURATION AND ADULT BEHAVIOR IN FEMALE RATS SUBJECTED TO MATERNAL-DEPRIVATION;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8901;P;7198595;Day HD, Seay BM, Hale P, Hendricks D.;1982;Dev Psychobiol;Early social deprivation and the ontogeny of unrestricted social behavior in the laboratory rat.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4988;W;7198797;"GORZALKA, BB; RAIBLE, LH";1981;PHYSIOLOGY & BEHAVIOR;FACILITATION OF LORDOSIS BEHAVIOR IN RATS BY SOCIAL-ISOLATION - ADRENAL MEDIATION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8902;P;7199186;Simler S, Puglisi-Allegra S, Mandel P.;1982;Pharmacol Biochem Behav;gamma-Aminobutyric acid in brain areas of isolated aggressive or non-aggressive inbred strains of mice.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8903;P;7200619;Miley WM, Blustein J, Kennedy K.;1982;Physiol Behav;Prenatal stimulation and postnatal testosterone affects infanticide in female rats.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8904;P;7201296;Ogilvie DM, Martin AH.;1982;Arch Environ Contam Toxicol;Aggression and open-field activity of lead-exposed mice.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8905;P;7201405;Dallmeier Zelger K, Carlini EA.;1982;Eur J Pharmacol;The persistence of hyperresponsiveness to apomorphine in rats following REM sleep deprivation and the influence of housing conditions.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8906;P;7202236;Dourish CT.;1982;Prog Neuropsychopharmacol Biol Psychiatry;An observational analysis of the behavioural effects of beta-phenylethylamine in isolated and grouped mice.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8931;P;7202847;Benton D, Brain PF.;1981;Dev Psychobiol;Behavioral and adrenocortical reactivity in female mice following individual or group housing.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8932;P;7217408;Teicher MH, Shaywitz BA, Kootz HL, Cohen DJ.;1981;J Comp Physiol Psychol;Differential effects of maternal and sibling presence of hyperactivity of 6-hydroxydopamine-treated developing rats.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4992;W;7220628;DARK, J;1980;PHYSIOLOGY & BEHAVIOR;PARTIAL ISOLATION OF THE SUPRACHIASMATIC NUCLEI - EFFECTS ON CIRCADIAN-RHYTHMS OF RAT DRINKING BEHAVIOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8962;P;7236206;Minkel DT, Poulsen K, Wielgus S, Shaw CF 3rd, Petering DH.;1980;Biochem J;On the sensitivity of metallothioneins to oxidation during isolation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8933;P;7243371;Saxena BB.;1981;Pediatr Clin North Am;New methods of pregnancy testing in adolescent girls.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8934;P;7243851;Schiørring E.;1981;Pharmacol Biochem Behav;"Psychopathology induced by ""speed drugs"".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8935;P;7248066;Eclancher F, Karli P.;1981;Behav Brain Res;Influence of rearing conditions on the acquisition of the two-way active avoidance responses by rats septalectomized at an early age.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8936;P;7250521;Panksepp J.;1981;Dev Psychobiol;The ontogeny of play in rats.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4985;W;7250523;"EINON, DF; HUMPHREYS, AP; CHIVERS, SM; FIELD, S; NAYLOR, V";1981;DEVELOPMENTAL PSYCHOBIOLOGY;ISOLATION HAS PERMANENT EFFECTS UPON THE BEHAVIOR OF THE RAT, BUT NOT THE MOUSE, GERBIL, OR GUINEA-PIG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8938;P;7288906;Jensh RP, Magaziner A, Vogel WH.;1981;J Toxicol Environ Health;Effects of maternal environment and postnatal multiple testing on adult rat offspring.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8939;P;7291261;Alexander BK, Beyerstein BL, Hadaway PF, Coambs RB.;1981;Pharmacol Biochem Behav;Effect of early and later colony housing on oral ingestion of morphine in rats.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8940;P;7297851;Kacser H, Burns JA.;1981;Genetics;The molecular basis of dominance.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8941;P;7299742;Rastogi RK, Milone M, Chieffi G.;1981;J Reprod Fertil;Impact of socio-sexual conditions on the epididymis and fertility in the male mouse.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8942;P;7337714;Hughes GJ, de Jong C, Fischer RW, Winterhalter KH, Wilson KJ.;1981;Biochem J;Modification by simetryn sulphoxide of a specific thiol group in rat haemoglobin.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8963;P;7357060;Ellison G, Ring M, Ross D, Axelrood B.;1980;Biol Psychiatry;Cumulative alterations in rat behavior during continuous administration of LSD or mescaline: absence of tolerance?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8964;P;7364999;Hofer MA, Shair H.;1980;J Comp Physiol Psychol;Sensory processes in the control of isolation-induced ultrasonic vocalization by 2-week-old rats.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8965;P;7373232;James JH, Wagner AR.;1980;J Exp Psychol Anim Behav Process;One-trial overshadowing: evidence of distributive processing.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8966;P;7375588;Morinan A, Leonard BE.;1980;Physiol Behav;Some anatomical and physiological correlates of social isolation in the young rat.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
